# Agent Kernel V2 K0 kernel effect/operation/process census (evidence-only, no behavior change)
# Baseline: 0bf690b2 (contains PR #192 foundation)
# Plan: docs/plans/2026-08-09-agent-kernel-v2-deepseek-implementation-plan.md §6
# Each row records: effect family, command owner, current executor, authorization input,
# operation/process ID owner, receipt, timeout/cancel, restart recovery, external irreversibility,
# target K/E slice.
# status: CLOSED|INVESTIGATE:<blocker-id>
# Test-only fixtures are excluded (production_callers=0 convention).
fact_id	effect_family	command_owner	current_executor	authorization_input	id_owner	receipt	timeout_cancel	restart_recovery	external_irreversible	target_slice	status	evidence_command
K0-EX-04	process-spawn (execd client)	Executive daemon bootstrap	crates/executive/src/adapters/channel/execd_client.rs:100 (Command::new binary_path spawn)	daemon config (execd enable flag, aletheon/src/main.rs:167)	execd child handle id	ping/process_read RPC responses	no uniform timeout	execd child restarted by daemon lifecycle	execd child may run sandboxed OS processes	K4/K5	CLOSED	rg -n 'Command::new' crates/executive/src/adapters/channel/execd_client.rs
K0-EX-05	process-spawn (execd manager)	execd crate	crates/execd/src/process.rs:49,91,96,119 (ProcessManager::spawn Command::new)	RpcError protocol (execd/src/protocol.rs)	OS child pid / handle_id	read/write/signal RPC	no explicit timeout at execd boundary	sandbox reaps on signal/exit	execd runs arbitrary wrapped commands (irreversible to host if not sandboxed)	K4/K5	CLOSED	rg -n 'async fn spawn' crates/execd/src/process.rs
K0-EX-06	filesystem (execd sandbox)	execd crate	crates/execd/src/filesystem.rs	SandboxRequirement via execd protocol	handle id	read/write RPC responses	no explicit timeout	no durable state	file mutations sandboxed per SandboxPolicy	K4/K5	CLOSED	rg -n 'execute_structured_patch|OpenOptions' crates/execd/src/filesystem.rs
K0-EX-07	process-spawn (extension subprocess)	Executive extension runtime	crates/executive/src/extensions/runtime/subprocess.rs:472 (Command::new config.command)	extension runtime config + capability permit	OS child pid	cancellation_token + is_quarantined	explicit cancel via cancellation_token (subprocess.rs:459)	quarantine + probe (subprocess.rs:210,414)	extension subprocess mutates workspace	RA-05/K5	CLOSED	rg -n 'Command::new' crates/executive/src/extensions/runtime/subprocess.rs
K0-EX-08	process-spawn (Pi)	Pi runtime	crates/executive/src/adapters/runtime/pi.rs:66,111 (PiRuntime::prepare) + pi_rpc.rs:94,196	PiRuntimeConfig enabled + capability permit	RuntimeId pi-coder / OsProcessId	AgentResult via AgentRuntimeLauncher	cancel via pi_rpc cancel command	Pi recovery via AgentRecoveryCoordinator	Pi coder subprocess mutates worktree (irreversible)	RA-05/E6-K6d	CLOSED	rg -n 'runtime_id\(\)' crates/executive/src/adapters/runtime/pi.rs
K0-EX-09	process-spawn (provider worker)	Goal worker runtime	crates/executive/src/adapters/runtime/provider_worker.rs:524 (CountingTool register) + native_cognit.rs:262	ProviderWorkerRuntime route + capability permit	RuntimeId	fabric::ToolResult + AgentResult	no uniform timeout	recovery via AgentRecoveryCoordinator	provider worker runs sub-agent inference (external provider call)	RA-05/K4	CLOSED	rg -n 'runtime_id\(' crates/executive/src/adapters/runtime/provider_worker.rs
K0-EX-10	network (Gmail/Google)	Corpus google tools + Executive google adapters	crates/corpus/src/tools/google/tools.rs:1 (also adapters/google/sync_manager.rs, event_ingress.rs)	OAuth credential + capability permit	Google account / OAuth token	fabric::ToolResult + google store rows	no uniform timeout	OAuth refresh + sync recovery	send email / modify Google data (irreversible, external)	E2-K6a/K5	CLOSED	rg -n 'impl Tool for' crates/corpus/src/tools/google/tools.rs
K0-EX-11	hardware (simulator)	Hardware simulator	crates/hardware/src/simulator.rs:306	Kernel permit + simulator authority	OperationId / ProcessId	fabric::CapabilityReceipt	control.cancel	simulator replays from state	simulator only; no real actuator transport (restriction in architecture-status.toml:55-60)	E4-K6b/K4	CLOSED	rg -n 'success_criteria' crates/hardware/src/simulator.rs
K0-EX-12	robot (episode)	Robot bridge bootstrap	crates/executive/src/host/daemon/bootstrap/robot.rs:263 (MnemosyneEpisodePromoter)	RobotBridge config + capability permit	EpisodeId / ProcessId	episode promotion receipts	no uniform timeout	no durable robot state	real robot execution fail-closed/unsupported without HIL evidence	E5-K6c/K4	CLOSED	rg -n 'MnemosyneEpisodePromoter' crates/executive/src/host/daemon/bootstrap/robot.rs
K0-J-01	journal	OperationTable	crates/kernel/src/operation/table.rs:17,30	OperationRequest	OperationId	records: Mutex<HashMap<OperationId, OperationRuntime>> (in-memory, NOT durable)	deadline in OperationRecord	NO durable restart recovery (in-memory only)	no	K1 (durable journal)	CLOSED	rg -n 'pub struct OperationTable' crates/kernel/src/operation/table.rs
K0-J-02	journal	EventSpine sqlite	crates/executive/src/adapters/events/sqlite_event_spine.rs:245	EventPayload (post-turn projection writer)	EventId / EventTreeId	sqlite event spine streams	no	readers replay from watermark	sqlite durable writes	RA-02/K1	CLOSED	rg -n 'impl EventSpine for SqliteEventSpine' crates/executive/src/adapters/events/sqlite_event_spine.rs
K0-BP-01	bypass-risk	Direct Tool::execute without kernel	crates/corpus/src/tools/tools/managed_command.rs:185 (also git_tools.rs:39, script_tool.rs, kernel_build.rs, workspace_version.rs, change_transaction.rs, security/approval.rs)	Corpus tools implement fabric::Tool::execute directly; ToolExecutor wrapper (tool_executor.rs:337) is the only admission gate	OS child pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	OS spawn + external mutations can occur below the ToolExecutor admission boundary	K4	CLOSED	rg -n 'impl Tool for' crates/corpus/src/tools/tools/managed_command.rs
K0-BP-02	bypass-risk	daemon bootstrap	crates/executive/src/adapters/channel/execd_client.rs:100	daemon config only	execd pid	execd RPC	no	restart by daemon	execd is a separate process boundary not gated by capability permit	K5	CLOSED	rg -n 'Command::new\(&config.binary_path' crates/executive/src/adapters/channel/execd_client.rs
K0-EX-13	process-spawn (corpus tools family)	Corpus tool runner	crates/corpus/src/tools/tools (dir)	CapabilityRequest permit via TurnToolExecutor	OS child pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	bash_exec/grep/file_search/module_build/module_load/ebpf/process_list mutate workspace	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/tools/tools
K0-EX-14	process-spawn (sandbox family)	Corpus sandbox driver	crates/corpus/src/security/sandbox (dir)	SandboxPolicy + capability permit	OS child pid / sandbox handle	fabric::ToolResult	sandbox timeout	reaped by supervisor	bubblewrap/noop/process/streaming sandbox children	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/security/sandbox
K0-EX-15	process-spawn (subagent command)	Corpus subagent	crates/corpus/src/tools/subagent/command.rs	CapabilityRequest permit via TurnToolExecutor	OS child pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	subagent command mutates workspace	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/tools/subagent/command.rs
K0-EX-16	process-spawn (platform linux)	Platform service host	crates/platform/src/backend/linux (dir)	platform service config + capability permit	OS pid / process group	fabric::ToolResult	no uniform timeout	ProcessHost restart	filesystem/system service mutation	K4/K5	CLOSED	rg -n 'Command::new|ProcessHost|ServiceHost' crates/platform/src/backend/linux
K0-EX-17	process-spawn (memory agent)	aletheon memory CLI	crates/aletheon/src/memory_agent.rs	daemon config + capability permit	OS child pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	aletheon memory agent spawns subprocess	K4/K5	CLOSED	rg -n 'Command::new' crates/aletheon/src/memory_agent.rs
K0-EX-18	process-spawn (journald source)	dasein perception	crates/dasein/src/impl/perception/sources/journald_source.rs	perception source config + capability permit	journald pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	journald log stream (external read)	K4/K5	CLOSED	rg -n 'Command::new' crates/dasein/src/impl/perception/sources/journald_source.rs
K0-EX-19	process-spawn (execd main)	execd crate	crates/execd/src/main.rs	RpcError protocol	handle id	execd RPC	no	restart by daemon	execd child process	K4/K5	CLOSED	rg -n 'ProcessManager::new' crates/execd/src/main.rs
K0-EX-20	process-spawn (plugin/container/readiness)	Executive host	crates/executive/src/host/container.rs:1	daemon config + capability permit	OS child pid	fabric::ToolResult + readiness probe	no uniform timeout	readiness restarts plugin	container/plugin spawns OS children	K4/K5	CLOSED	rg -n 'Command::new' crates/executive/src/host/container.rs crates/executive/src/host/readiness.rs crates/executive/src/adapters/plugin/runtime.rs
K0-EX-21	process-spawn (worktree recovery)	Executive runtime adapter	crates/executive/src/adapters/runtime/worktree_recovery.rs	recovery config + capability permit	OS child pid	fabric::ToolResult	no uniform timeout	worktree recovery re-runs	git/worktree mutation	K4/K5	CLOSED	rg -n 'Command::new' crates/executive/src/adapters/runtime/worktree_recovery.rs
K0-EX-22	approval apply	Executive application	crates/executive/src/application/approval/apply_coordinator.rs:1 (also governed_capability.rs)	Approval aggregate + capability permit	fabric::PermitId / ApprovalId	CapabilityResult + approval receipt	no uniform timeout	no durable recovery	approval-gated side effect	K1/K3	CLOSED	rg -n 'Command::new' crates/executive/src/application/approval/apply_coordinator.rs crates/executive/src/application/governed_capability.rs
K0-EX-23	process-spawn (pi_rpc)	Pi runtime adapter	crates/executive/src/adapters/runtime/pi_rpc.rs	PiRuntimeConfig + capability permit	RuntimeId pi-coder / OsProcessId	AgentResult via AgentRuntimeLauncher	cancel via pi_rpc cancel command	Pi recovery via AgentRecoveryCoordinator	Pi coder subprocess mutates worktree (irreversible)	RA-05/E6-K6d	CLOSED	rg -n 'Command::new|OsProcessId' crates/executive/src/adapters/runtime/pi_rpc.rs
K0-EX-24	process-spawn (corpus process_spawn + hook)	Corpus process spawn + hook registry	crates/corpus/src/process_spawn.rs:1 (also crates/corpus/src/hook/registry.rs)	capability permit via corpus service	OS child pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	process spawn + hook side effect	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/process_spawn.rs crates/corpus/src/hook/registry.rs
K0-EX-25	process-spawn (display driver)	Corpus display driver	crates/corpus/src/drivers/display/window_x11.rs:191	capability permit via corpus service	OS child pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	X11 window process side effect	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/drivers/display/window_x11.rs
K0-EX-26	process-spawn (sandbox driver)	Corpus sandbox driver	crates/corpus/src/drivers/sandbox_driver/mod.rs:82	capability permit via corpus service	OS child pid / sandbox handle	fabric::ToolResult	sandbox timeout	reaped by supervisor	sandbox_driver child process	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/drivers/sandbox_driver/mod.rs
K0-EX-27	admission-permit	KernelRuntime	crates/kernel/src/runtime.rs:119	KernelRuntime::with_clock constructs ProductionAdmissionController	clock via KernelRuntime	fabric::PermitId via admission controller	revoke on cancel	no durable permit store	no	K1/K3	CLOSED	rg -n 'ProductionAdmissionController::new|with_admission' crates/kernel/src/runtime.rs
