# status=historical / retired; frozen Executive snapshot, not consumed by architecture-check.sh
# frozen_commit=ca4b185
# path	layer	owner	reason
crates/executive/src/application/cognitive_role_workflow.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/cognitive_role_workflow/stages.rs	application	executive	adaptive workflow stage execution
crates/executive/src/application/cognitive_role_workflow/state_machine.rs	application	executive	adaptive workflow state transitions
crates/executive/src/application/conscious/agent_processor.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/conscious/corpus_processor.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/conscious/memory_processor.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/conscious/metacog_processor.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/conscious/mod.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/conscious_action.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/conscious_core_coordinator.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/conscious_workspace.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/context_assembler.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/daemon_react.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/daemon_turn/execute.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/daemon_turn/lifecycle.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/daemon_turn/mod.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/daemon_turn/orchestrator.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/daemon_turn/test_support.rs	compatibility	executive	test-only concrete fixture
crates/executive/src/application/daemon_turn_engine.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/dasein_workspace_adapter.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/attempt.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/attempt_coordinator.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/budget.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/coordinator.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/mod.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/store.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/summary.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/transition.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/verification.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal/worker.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/goal_service.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/governed_capability.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/harness_factory.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/memory_gateway.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/memory_projection.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/mod.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/post_turn_projection.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/request_use_cases.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/session_service.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/turn_coordinator.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/turn_engine.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/turn_pipeline.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/turn_runtime_ports.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/verification/checks.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/verification/command.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/verification/mod.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/verification/policy.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/workspace_checkpoint.rs	application	executive	use-case orchestration and ports
crates/executive/src/lib.rs	compatibility	executive	legacy public path or crate facade
crates/executive/src/application/evaluation/coding_scorer.rs	application	executive	coding evaluation scoring policy
crates/executive/src/application/evaluation/contract_issuer.rs	application	executive	evaluation contract issuance
crates/executive/src/application/evaluation/evidence_collector.rs	application	executive	evaluation evidence collection
crates/executive/src/application/evaluation/mod.rs	application	executive	evaluation application facade
crates/executive/src/application/evaluation/service.rs	application	executive	evaluation use case
crates/executive/src/adapters/runtime/test_registry.rs	adapter	executive	live migration surface
crates/executive/src/adapters/session/test_composition.rs	adapter	executive	live migration surface
crates/executive/src/application/agent_control/runtime_bridge.rs	application	executive	live migration surface
crates/executive/src/application/agent_control/runtime_projection.rs	application	executive	live migration surface
crates/executive/src/application/agent_control/spawning.rs	application	executive	live migration surface
crates/executive/src/application/goal/runtime_executor.rs	application	executive	live migration surface
