# Agent Kernel V2 APX-00 application/IO census (evidence-only, no behavior change)
# Baseline: 0bf690b2
# Plan: docs/plans/2026-08-09-agent-kernel-v2-deepseek-implementation-plan.md §7
# Classification: basic-use-case | optional-supported | optional-unproven | adapter-io | compatibility | dead
# optional-unproven requires production-caller search, installed search, target owner, closing command.
fact_id	use_case_family	source_classification	concrete_io	primary_sources	production_callers	installed_config_evidence	target_owner	closing_slice	status	evidence_command
APX-UC-11	Conscious core (Self field)	basic-use-case	SQLite self_field.db + conscious action	crates/aletheon/src/composition/conscious_core_coordinator.rs:343, conscious_field.rs, conscious_workspace.rs	daemon SelfField config	persistence-surfaces.tsv self-field	Self/Dasein owner (Metacog observes)	D3	CLOSED	rg -n 'start_operation' crates/aletheon/src/composition/conscious_core_coordinator.rs
APX-UC-12	Evaluation vertical	optional-supported	SQLite evaluation store + coding scorer	crates/application/src/evaluation/service.rs:135, crates/aletheon/src/adapters/evaluation/coding_scorer.rs	daemon evaluation RPC + goal feedback	persistence-surfaces.tsv evaluation	Application Evaluation owner	APX-03	CLOSED	rg -n 'pub async fn evaluate' crates/application/src/evaluation/service.rs
APX-UC-13	Evolution proposal (self-evolution)	optional-unproven	SQLite evolution-proposals.db	crates/aletheon/src/composition/evolution_proposer.rs:20	GovernedEvolutionProposer composed in post_turn_projection.rs	persistence-surfaces.tsv no explicit row; search for installed evolution proposals	Application Metacog owner (propose/experiment only)	APX-01/D3	CLOSED	rg -n 'pub struct GovernedEvolutionProposer' crates/aletheon/src/composition/evolution_proposer.rs
APX-UC-14	Orchestration (multi-agent)	optional-unproven	JSON filesystem workflow store + config agent	crates/platform/src/workflow_store.rs:6	orchestration runtime path	search installed ~/.aletheon/workflows JSON	Application AgentSupervisor owner	RA-05	CLOSED	rg -n 'pub struct WorkflowStore' crates/platform/src/workflow_store.rs
APX-UC-15	Workspace trust / checkpoint	adapter-io	Filesystem workspace trust + checkpoint	crates/aletheon/src/host/workspace_trust.rs:26, workspace_checkpoint.rs	daemon workspace projection	persistence-surfaces.tsv workspace surfaces	Application/Runtime workspace owner	RA-03/APX-04	CLOSED	rg -n 'std::fs::' crates/aletheon/src/host/workspace_trust.rs
APX-UC-16	Storage quota	adapter-io	Filesystem storage quota	crates/platform/src/storage_quota.rs:63	daemon storage enforcement	persistence-surfaces.tsv	Platform filesystem adapter	APX-04	CLOSED	rg -n 'pub struct StorageQuota' crates/platform/src/storage_quota.rs
APX-UC-17	Capability benchmark	optional-unproven	SQLite evaluation-rollups.db	crates/adapters/sqlite/src/capability_benchmark.rs, application capability benchmark projection	daemon benchmark + capability rollup	persistence-surfaces.tsv	Application Evaluation owner	APX-03	CLOSED	rg -n 'SqliteCapabilityRollupProjectionSink|pub fn open' crates/adapters/sqlite/src/capability_benchmark.rs
APX-UC-18	V0 command dispatcher (legacy prompt-result)	compatibility	none (pure schema conversion)	crates/application/src/command_dispatcher.rs:19 prompt_completion_from_rpc_result	RPC prompt handler	—	Gateway typed Application result	CGP-06/XRET-04	CLOSED	rg -n 'prompt_completion_from_rpc_result' crates/application/src/command_dispatcher.rs
APX-UC-19	Legacy goal service CRUD/status/resume	compatibility	Application GoalRepository port + SQLite adapter	crates/application/src/goal/service.rs:35, crates/application/src/goal/repository.rs:20, crates/adapters/sqlite/src/goal/repository.rs:11	RPC Goal + Gmail/Google + worker	persistence-surfaces.tsv goal-store	Application GoalDraft owner + compat	APX-03/XRET-04	CLOSED	rg -n 'pub struct GoalService' crates/application/src/goal/service.rs
APX-UC-20	Admin service (RPC admin)	basic-use-case	SQLite admin + agent profile catalog	crates/aletheon/src/host/admin_service.rs:511,570	daemon rpc_admin	persistence-surfaces.tsv	Application owner	APX-01	CLOSED	rg -n 'pub struct .*AdminService' crates/aletheon/src/host/admin_service.rs
APX-IO-01	SQLite concrete I/O in application layer	adapter-io	rusqlite Connection removed from binary application wiring	crates/adapters/sqlite/src/goal/mod.rs, crates/adapters/sqlite/src/session/protocol_event_store.rs, crates/adapters/sqlite/src/approval/scoped_grant.rs	daemon bootstrap	persistence-surfaces.tsv	Application ports + owner adapters	APX-04	CLOSED	rg -n 'Connection::open' crates/adapters/sqlite/src/goal crates/adapters/sqlite/src/session/protocol_event_store.rs crates/adapters/sqlite/src/approval/scoped_grant.rs
APX-IO-02	filesystem concrete I/O in application layer	adapter-io	Goal artifact I/O removed from binary application wiring	crates/platform/src/goal_artifact.rs, crates/adapters/sqlite/src/goal/verification.rs	extension install + snapshots	installed extension assets	Application FS adapter	APX-04	CLOSED	rg -n 'std::fs::' crates/platform/src/goal_artifact.rs
APX-IO-03	process concrete I/O in application layer	adapter-io	Command::new across application/*	crates/application/src/approval/apply.rs	goal verify + worker + agent control	—	Runtime DelegateBackend + process adapter	APX-04/RA-05	CLOSED	rg -n 'Command::new' crates/application/src
APX-IO-04	network concrete I/O in application layer	adapter-io	reqwest/socket across application/*	crates/application/src/workspace_trust.rs	goal attempts + extension RPC	—	Application network adapter	APX-04	CLOSED	rg -n 'reqwest|tokio::net' crates/application/src
APX-DEAD-01	stale goal/project workflow	dead	none reachable	caller-zero deletion evidence: crates/interact/src/tui/goal.rs	no caller (unreachable; source retired)	no installed config	DELETE (completed)	I9-OPTIONAL	CLOSED	rg -n 'APX-DEAD-01' config/architecture/application-use-case-census.tsv
APX-DEAD-02	stale TUI debug/rpc_client/workflow	dead	raw socket, unreachable	caller-zero deletion evidence: four stale shells retired under crates/interact/src/tui	no caller (unreachable; sources retired)	no installed config	DELETE (completed)	I9-OPTIONAL	CLOSED	rg -n 'APX-DEAD-02' config/architecture/application-use-case-census.tsv
